u,y,fs
4.95,3.846529814,
0,3.905180841,
4.95,3.743890518,
0,3.709677419,
0,3.636363636,
4.95,3.064516129,
4.95,3.352883675,
4.95,4.090909091,
0,4.193548387,
4.95,3.958944282,
4.95,3.988269795,
4.95,4.154447703,
4.95,4.198435973,
0,4.237536657,
0,3.846529814,
0,3.299120235,
4.95,2.790811339,
0,3.020527859,
4.95,3.289345064,
0,3.553274682,
4.95,3.670576735,
4.95,3.802541544,
0,4.090909091,
0,3.846529814,
4.95,3.284457478,
0,3.558162268,
4.95,3.582600196,
4.95,3.729227761,
4.95,4.056695992,
4.95,4.173998045,
0,4.198435973,
0,3.939393939,
0,3.357771261,
0,2.776148583,
4.95,2.228739003,
4.95,2.585532747,
0,3.71945259,
4.95,3.631476051,
4.95,3.690127077,
0,4.032258065,
0,3.8514174,
4.95,3.250244379,
4.95,3.39198436,
0,4.03714565,
0,3.822091887,
0,3.245356794,
4.95,2.7028348,
0,3.000977517,
0,3.362658847,
0,2.883675464,
0,2.350928641,
0,1.818181818,
0,1.37829912,
0,0.9824046921,
4.95,0.4545454545,
0,0.8797653959,
4.95,2.360703812,
0,2.84457478,
4.95,3.299120235,
4.95,3.558162268,
4.95,4.027370479,
4.95,4.164222874,
4.95,4.183773216,
0,4.198435973,
4.95,3.919843597,
4.95,3.934506354,
4.95,4.149560117,
4.95,4.17888563,
0,4.2228739,
4.95,3.924731183,
4.95,3.866080156,
4.95,4.134897361,
0,4.193548387,
4.95,3.910068426,
0,3.880742913,
4.95,3.739002933,
4.95,3.768328446,
0,4.090909091,
4.95,3.900293255,
0,3.80742913,
4.95,3.739002933,
0,3.782991202,
4.95,3.758553275,
4.95,3.748778104,
4.95,4.061583578,
0,4.173998045,
0,3.875855327,
4.95,3.294232649,
4.95,3.499511241,
4.95,4.061583578,
4.95,4.17888563,
4.95,4.2228739,
0,4.2228739,
4.95,3.924731183,
0,3.8514174,
0,3.773216031,
0,3.128054741,
0,2.61485826,
4.95,2.116324536,
4.95,2.52688172,
4.95,3.440860215,
0,4.032258065,
4.95,3.797653959,
4.95,3.841642229,
0,4.115347019,
4.95,3.856304985,
4.95,3.80742913,
0,4.086021505,
0,3.910068426,
4.95,3.333333333,
0,3.416422287,
4.95,3.558162268,
0,3.611925709,
0,3.655913978,
4.95,3.147605083,
0,3.377321603,
0,3.460410557,
0,3.020527859,
0,2.507331378,
4.95,1.974584555,
4.95,2.258064516,
4.95,3.240469208,
0,3.99315738,
0,3.822091887,
4.95,3.245356794,
0,3.382209189,
4.95,3.431085044,
4.95,3.641251222,
0,4.061583578,
0,3.841642229,
4.95,3.299120235,
0,3.484848485,
0,3.519061584,
0,2.961876833,
4.95,2.424242424,
4.95,2.737047898,
0,3.831867058,
0,3.768328446,
0,3.269794721,
0,2.795698925,
4.95,2.38514174,
0,2.663734115,
4.95,3.147605083,
0,3.343108504,
0,3.548387097,
0,2.976539589,
0,2.517106549,
4.95,1.999022483,
4.95,2.346041056,
0,3.313782991,
4.95,3.582600196,
4.95,3.597262952,
4.95,4.03714565,
0,4.159335288,
4.95,3.861192571,
4.95,3.802541544,
0,4.076246334,
0,3.880742913,
0,3.372434018,
4.95,2.834799609,
0,2.986314761,
4.95,3.274682307,
0,3.372434018,
4.95,3.57771261,
0,3.699902248,
0,3.704789834,
0,3.16226784,
4.95,2.590420332,
0,2.93255132,
4.95,3.34799609,
4.95,3.470185728,
4.95,4.046920821,
4.95,4.17888563,
4.95,4.193548387,
0,4.2228739,
4.95,3.929618768,
0,3.856304985,
4.95,3.753665689,
4.95,3.797653959,
0,4.134897361,
4.95,3.910068426,
4.95,3.880742913,
4.95,4.115347019,
0,4.203323558,
4.95,3.890518084,
4.95,3.802541544,
4.95,4.100684262,
0,4.17888563,
0,3.905180841,
4.95,3.30400782,
0,3.597262952,
4.95,3.567937439,
0,3.704789834,
4.95,3.636363636,
0,3.690127077,
4.95,3.675464321,
0,3.841642229,
0,3.714565005,
0,3.103616813,
4.95,2.492668622,
4.95,2.88856305,
4.95,3.934506354,
4.95,4.134897361,
4.95,4.203323558,
4.95,4.217986315,
4.95,4.217986315,
0,4.213098729,
4.95,3.890518084,
0,3.856304985,
0,3.739002933,
4.95,3.264907136,
4.95,3.465298143,
4.95,4.012707722,
4.95,4.154447703,
4.95,4.213098729,
0,4.232649071,
4.95,3.939393939,
4.95,3.939393939,
0,4.12512219,
0,3.8514174,
0,3.39198436,
4.95,2.84457478,
4.95,3.113391984,
4.95,3.929618768,
0,4.164222874,
4.95,3.870967742,
0,3.836754643,
0,3.739002933,
0,3.176930596,
4.95,2.649071359,
0,3.020527859,
0,3.367546432,
4.95,2.917888563,
0,3.206256109,
4.95,3.323558162,
4.95,3.519061584,
0,4.002932551,
4.95,3.826979472,
0,3.802541544,
4.95,3.695014663,
0,3.758553275,
0,3.695014663,
4.95,3.132942326,
4.95,3.284457478,
0,3.968719453,
0,3.802541544,
4.95,3.313782991,
4.95,3.626588465,
4.95,4.086021505,
4.95,4.188660802,
0,4.2228739,
0,3.934506354,
0,3.479960899,
0,2.88856305,
0,2.380254154,
0,1.83773216,
0,1.37829912,
4.95,0.972629521,
4.95,1.461388074,
0,2.869012708,
0,3.318670577,
4.95,2.717497556,
4.95,3.054740958,
4.95,3.988269795,
4.95,4.154447703,
4.95,4.198435973,
0,4.2228739,
0,3.880742913,
0,3.396871945,
0,2.859237537,
0,2.414467253,
0,1.999022483,
4.95,1.554252199,
4.95,1.930596285,
4.95,3.142717498,
0,3.944281525,
0,3.778103617,
4.95,3.211143695,
4.95,3.401759531,
4.95,4.03714565,
4.95,4.159335288,
0,4.208211144,
0,3.958944282,
4.95,3.299120235,
0,3.567937439,
0,3.646138807,
0,3.084066471,
0,2.595307918,
4.95,2.101661779,
4.95,2.409579668,
0,3.616813294,
0,3.528836755,
0,3.064516129,
4.95,2.653958944,
0,2.922776149,
4.95,3.167155425,
4.95,3.362658847,
0,3.89540567,
0,3.739002933,
0,3.235581623,
0,2.737047898,
4.95,2.184750733,
0,2.541544477,
4.95,3.235581623,
4.95,3.357771261,
0,3.973607038,
0,3.797653959,
0,3.201368524,
4.95,2.707722385,
4.95,2.947214076,
0,3.768328446,
4.95,3.670576735,
4.95,3.709677419,
0,4.061583578,
0,3.782991202,
0,3.220918866,
4.95,2.688172043,
0,2.93255132,
0,3.284457478,
0,2.766373412,
4.95,2.360703812,
0,2.624633431,
0,3.206256109,
0,2.600195503,
4.95,2.072336266,
0,2.531769306,
4.95,2.976539589,
